IDCliente;NombreCliente;Ciudad;Pais;Latitud;Longitud;IDProducto;NombreProducto;CostoUSD;Categoria;Margen;CodigoPedido;FechaVenta;Unidades;CostoTotalUSD;VentaUSD;VentaTotalUSD
111249;Ct Pal;Buenos Aires;Argentina;-34,590081;-58,424213;LGP;LG Pro;358;Gama Alta;0,45;169660;2010-01-08;124;44392;519,1;64368,4
171251;Infotect;Lima;Perú;-12,061354;-77,037754;IP2;Iphone 2;1000;Gama Baja;0,25;169661;2010-01-08;46;46000;1250;57500
171251;Infotect;Lima;Perú;-12,061354;-77,037754;IP3;Iphone 3;1200;Gama Baja;0,25;169662;2010-01-08;42;50400;1500;63000
171251;Infotect;Lima;Perú;-12,061354;-77,037754;IP4;Iphone 4;1400;Gama Media;0,35;169663;2010-01-08;62;86800;1890;117180
171251;Infotect;Lima;Perú;-12,061354;-77,037754;IP5;Iphone 5;1600;Gama Media;0,35;169664;2010-01-08;46;73600;2160;99360
171251;Infotect;Lima;Perú;-12,061354;-77,037754;IP6;Iphone 6;1800;Gama Alta;0,45;169665;2010-01-08;82;147600;2610;214020
171251;Infotect;Lima;Perú;-12,061354;-77,037754;GS1;Galaxy S1;850;Gama Baja;0,25;169666;2010-01-08;58;49300;1062,5;61625
171251;Infotect;Lima;Perú;-12,061354;-77,037754;GS2;Galaxy S2;925;Gama Baja;0,25;169667;2010-01-08;82;75850;1156,25;94812,5
171251;Infotect;Lima;Perú;-12,061354;-77,037754;GS3;Galaxy S3;1000;Gama Media;0,35;169668;2010-01-08;80;80000;1350;108000
171251;Infotect;Lima;Perú;-12,061354;-77,037754;GS4;Galaxy S4;1075;Gama Media;0,35;169669;2010-01-08;42;45150;1451,25;60952,5
171251;Infotect;Lima;Perú;-12,061354;-77,037754;GS5;Galaxy S5;1150;Gama Alta;0,45;169670;2010-01-08;50;57500;1667,5;83375
171251;Infotect;Lima;Perú;-12,061354;-77,037754;GS6;Galaxy S6;1225;Gama Alta;0,45;169671;2010-01-08;74;90650;1776,25;131442,5
171251;Infotect;Lima;Perú;-12,061354;-77,037754;MG;Motorola G;780;Gama Media;0,35;169672;2010-01-08;68;53040;1053;71604
171251;Infotect;Lima;Perú;-12,061354;-77,037754;MX;Motorola X;548;Gama Media;0,35;169673;2010-01-08;64;35072;739,8;47347,2
171251;Infotect;Lima;Perú;-12,061354;-77,037754;SXU;Sony Xperia U;999;Gama Alta;0,45;169674;2010-01-08;44;43956;1448,55;63736,2
171251;Infotect;Lima;Perú;-12,061354;-77,037754;AO1;Alcatel One;700;Gama Baja;0,25;169675;2010-01-08;56;39200;875;49000
171251;Infotect;Lima;Perú;-12,061354;-77,037754;LGP;LG Pro;358;Gama Alta;0,45;169676;2010-01-08;82;29356;519,1;42566,2
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;IP2;Iphone 2;1000;Gama Baja;0,25;169677;2010-01-08;38;38000;1250;47500
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;IP3;Iphone 3;1200;Gama Baja;0,25;169678;2010-01-08;34;40800;1500;51000
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;IP4;Iphone 4;1400;Gama Media;0,35;169679;2010-01-08;36;50400;1890;68040
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;IP5;Iphone 5;1600;Gama Media;0,35;169680;2010-01-08;34;54400;2160;73440
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;IP6;Iphone 6;1800;Gama Alta;0,45;169681;2010-01-08;68;122400;2610;177480
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;GS1;Galaxy S1;850;Gama Baja;0,25;169682;2010-01-08;70;59500;1062,5;74375
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;GS2;Galaxy S2;925;Gama Baja;0,25;169683;2010-01-08;68;62900;1156,25;78625
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;GS3;Galaxy S3;1000;Gama Media;0,35;169684;2010-01-08;46;46000;1350;62100
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;GS4;Galaxy S4;1075;Gama Media;0,35;169685;2010-01-08;34;36550;1451,25;49342,5
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;GS5;Galaxy S5;1150;Gama Alta;0,45;169686;2010-01-08;62;71300;1667,5;103385
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;GS6;Galaxy S6;1225;Gama Alta;0,45;169687;2010-01-08;40;49000;1776,25;71050
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;MG;Motorola G;780;Gama Media;0,35;169688;2010-01-08;58;45240;1053;61074
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;MX;Motorola X;548;Gama Media;0,35;169689;2010-01-08;58;31784;739,8;42908,4
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;SXU;Sony Xperia U;999;Gama Alta;0,45;169690;2010-01-08;50;49950;1448,55;72427,5
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;AO1;Alcatel One;700;Gama Baja;0,25;169691;2010-01-08;36;25200;875;31500
181253;Falabella;Santiago;Chile;-33,435111;-70,660649;LGP;LG Pro;358;Gama Alta;0,45;169692;2010-01-08;50;17900;519,1;25955
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;IP2;Iphone 2;1000;Gama Baja;0,25;169693;2010-02-08;32;32000;1250;40000
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;IP3;Iphone 3;1200;Gama Baja;0,25;169694;2010-02-08;48;57600;1500;72000
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;IP4;Iphone 4;1400;Gama Media;0,35;169695;2010-02-08;46;64400;1890;86940
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;IP5;Iphone 5;1600;Gama Media;0,35;169696;2010-02-08;44;70400;2160;95040
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;IP6;Iphone 6;1800;Gama Alta;0,45;169697;2010-02-08;32;57600;2610;83520
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;GS1;Galaxy S1;850;Gama Baja;0,25;169698;2010-02-08;42;35700;1062,5;44625
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;GS2;Galaxy S2;925;Gama Baja;0,25;169699;2010-02-08;50;46250;1156,25;57812,5
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;GS3;Galaxy S3;1000;Gama Media;0,35;169700;2010-02-08;54;54000;1350;72900
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;GS4;Galaxy S4;1075;Gama Media;0,35;169701;2010-02-08;70;75250;1451,25;101587,5
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;GS5;Galaxy S5;1150;Gama Alta;0,45;169702;2010-02-08;50;57500;1667,5;83375
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;GS6;Galaxy S6;1225;Gama Alta;0,45;169703;2010-02-08;66;80850;1776,25;117232,5
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;MG;Motorola G;780;Gama Media;0,35;169704;2010-02-08;54;42120;1053;56862
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;MX;Motorola X;548;Gama Media;0,35;169705;2010-02-08;48;26304;739,8;35510,4
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;SXU;Sony Xperia U;999;Gama Alta;0,45;169706;2010-02-08;60;59940;1448,55;86913
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;AO1;Alcatel One;700;Gama Baja;0,25;169707;2010-02-08;58;40600;875;50750
181215;Jumbo;Santiago;Chile;-33,486829;-70,650888;LGP;LG Pro;358;Gama Alta;0,45;169708;2010-02-08;68;24344;519,1;35298,8
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;IP2;Iphone 2;1000;Gama Baja;0,25;169709;2010-02-08;74;74000;1250;92500
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;IP3;Iphone 3;1200;Gama Baja;0,25;169710;2010-02-08;58;69600;1500;87000
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;IP4;Iphone 4;1400;Gama Media;0,35;169711;2010-02-08;76;106400;1890;143640
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;IP5;Iphone 5;1600;Gama Media;0,35;169712;2010-02-08;90;144000;2160;194400
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;IP6;Iphone 6;1800;Gama Alta;0,45;169713;2010-02-08;104;187200;2610;271440
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;GS1;Galaxy S1;850;Gama Baja;0,25;169714;2010-02-08;56;47600;1062,5;59500
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;GS2;Galaxy S2;925;Gama Baja;0,25;169715;2010-02-08;64;59200;1156,25;74000
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;GS3;Galaxy S3;1000;Gama Media;0,35;169716;2010-02-08;84;84000;1350;113400
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;GS4;Galaxy S4;1075;Gama Media;0,35;169717;2010-02-08;88;94600;1451,25;127710
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;GS5;Galaxy S5;1150;Gama Alta;0,45;169718;2010-02-08;104;119600;1667,5;173420
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;GS6;Galaxy S6;1225;Gama Alta;0,45;169719;2010-02-08;102;124950;1776,25;181177,5
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;MG;Motorola G;780;Gama Media;0,35;169720;2010-02-08;92;71760;1053;96876
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;MX;Motorola X;548;Gama Media;0,35;169721;2010-02-08;94;51512;739,8;69541,2
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;SXU;Sony Xperia U;999;Gama Alta;0,45;169722;2010-02-08;70;69930;1448,55;101398,5
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;AO1;Alcatel One;700;Gama Baja;0,25;169723;2010-02-08;100;70000;875;87500
161217;Éxito;Bogotá;Colombia;-4,683894;-74,079931;LGP;LG Pro;358;Gama Alta;0,45;169724;2010-02-08;102;36516;519,1;52948,2
171219;Tottus;Lima;Perú;-12,048157;-77,058537;IP2;Iphone 2;1000;Gama Baja;0,25;169725;2010-02-08;52;52000;1250;65000
171219;Tottus;Lima;Perú;-12,048157;-77,058537;IP3;Iphone 3;1200;Gama Baja;0,25;169726;2010-02-08;54;64800;1500;81000
171219;Tottus;Lima;Perú;-12,048157;-77,058537;IP4;Iphone 4;1400;Gama Media;0,35;169727;2010-02-08;66;92400;1890;124740
171219;Tottus;Lima;Perú;-12,048157;-77,058537;IP5;Iphone 5;1600;Gama Media;0,35;169728;2010-02-08;48;76800;2160;103680
171219;Tottus;Lima;Perú;-12,048157;-77,058537;IP6;Iphone 6;1800;Gama Alta;0,45;169729;2010-02-08;70;126000;2610;182700
171219;Tottus;Lima;Perú;-12,048157;-77,058537;GS1;Galaxy S1;850;Gama Baja;0,25;169730;2010-02-08;58;49300;1062,5;61625
171219;Tottus;Lima;Perú;-12,048157;-77,058537;GS2;Galaxy S2;925;Gama Baja;0,25;169731;2010-02-08;42;38850;1156,25;48562,5
171219;Tottus;Lima;Perú;-12,048157;-77,058537;GS3;Galaxy S3;1000;Gama Media;0,35;169732;2010-02-08;76;76000;1350;102600
171219;Tottus;Lima;Perú;-12,048157;-77,058537;GS4;Galaxy S4;1075;Gama Media;0,35;169733;2010-02-08;42;45150;1451,25;60952,5
171219;Tottus;Lima;Perú;-12,048157;-77,058537;GS5;Galaxy S5;1150;Gama Alta;0,45;169734;2010-02-08;40;46000;1667,5;66700
171219;Tottus;Lima;Perú;-12,048157;-77,058537;GS6;Galaxy S6;1225;Gama Alta;0,45;169735;2010-02-08;80;98000;1776,25;142100
171219;Tottus;Lima;Perú;-12,048157;-77,058537;MG;Motorola G;780;Gama Media;0,35;169736;2010-02-08;72;56160;1053;75816
171219;Tottus;Lima;Perú;-12,048157;-77,058537;MX;Motorola X;548;Gama Media;0,35;169737;2010-02-08;72;39456;739,8;53265,6
171219;Tottus;Lima;Perú;-12,048157;-77,058537;SXU;Sony Xperia U;999;Gama Alta;0,45;169738;2010-02-08;36;35964;1448,55;52147,8
171219;Tottus;Lima;Perú;-12,048157;-77,058537;AO1;Alcatel One;700;Gama Baja;0,25;169739;2010-02-08;72;50400;875;63000
171219;Tottus;Lima;Perú;-12,048157;-77,058537;LGP;LG Pro;358;Gama Alta;0,45;169740;2010-02-08;60;21480;519,1;31146
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;IP2;Iphone 2;1000;Gama Baja;0,25;169741;2010-02-08;82;82000;1250;102500
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;IP3;Iphone 3;1200;Gama Baja;0,25;169742;2010-02-08;66;79200;1500;99000
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;IP4;Iphone 4;1400;Gama Media;0,35;169743;2010-02-08;64;89600;1890;120960
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;IP5;Iphone 5;1600;Gama Media;0,35;169744;2010-02-08;48;76800;2160;103680
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;IP6;Iphone 6;1800;Gama Alta;0,45;169745;2010-02-08;62;111600;2610;161820
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;GS1;Galaxy S1;850;Gama Baja;0,25;169746;2010-02-08;68;57800;1062,5;72250
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;GS2;Galaxy S2;925;Gama Baja;0,25;169747;2010-02-08;52;48100;1156,25;60125
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;GS3;Galaxy S3;1000;Gama Media;0,35;169748;2010-02-08;74;74000;1350;99900
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;GS4;Galaxy S4;1075;Gama Media;0,35;169749;2010-02-08;70;75250;1451,25;101587,5
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;GS5;Galaxy S5;1150;Gama Alta;0,45;169750;2010-02-08;80;92000;1667,5;133400
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;GS6;Galaxy S6;1225;Gama Alta;0,45;169751;2010-02-08;60;73500;1776,25;106575
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;MG;Motorola G;780;Gama Media;0,35;169752;2010-02-08;62;48360;1053;65286
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;MX;Motorola X;548;Gama Media;0,35;169753;2010-02-08;74;40552;739,8;54745,2
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;SXU;Sony Xperia U;999;Gama Alta;0,45;169754;2010-02-08;66;65934;1448,55;95604,3
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;AO1;Alcatel One;700;Gama Baja;0,25;169755;2010-02-08;64;44800;875;56000
191221;Megamaxi;Quito;Ecuador;-0,286387;-78,542229;LGP;LG Pro;358;Gama Alta;0,45;169756;2010-02-08;74;26492;519,1;38413,4
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;IP2;Iphone 2;1000;Gama Baja;0,25;169757;2010-02-08;68;68000;1250;85000
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;IP3;Iphone 3;1200;Gama Baja;0,25;169758;2010-02-08;68;81600;1500;102000
141223;Disco;Montevideo;Uruguay;-34,89167;-56,125146;IP4;Iphone 4;1400;Gama Media;0,35;169759;2010-02-08;38;53200;1890;71820
